company_name,company_number,company_status,company_type,dissolution_date,incorporation_date,nature_of_business,registered_office_address
PETERBOROUGH HOUSE LTD,13846369,Active,Private limited company,,13/01/2022,68320,Yoden House 30 Yoden Way Peterlee SR8 1AL
BUDDY HOLLY PRODUCTIONS LIMITED,13845625,Active,Private limited company,,13/01/2022,90010 90030,Winnington House 2 Woodberry Grove Finchley London N12 0DR
RAEBURN AND CAMPBELL LTD,SC719744,Active,Private limited company,,13/01/2022,81229,Windylaws Edinburgh Road Peebles EH45 8PJ
CORDIANT RENEWABLES INVESTMENT MANAGEMENT LLP,OC440634,Active,Limited liability partnership,,13/01/2022, ,Windsor House Station Court Station Road Great Shelford Cambridge CB22 5NE
ENVIVO HEAD OFFICE NO1 LIMITED,13845767,Active,Private limited company,,13/01/2022,70100,Windsor House Bayshill Road Cheltenham GL50 3AT
BANGOR UNITED LIMITED,13846966,Active,Private limited company,,13/01/2022,56102,Windsor House 9-15 Adelaide Street Luton LU15BJ
MANOR PARK ALLURE LTD,SC719707,Active,Private limited company,,13/01/2022,68100,Westburn House Mcnee Road Prestwick KA9 2PB
AULGIRTH (B) ALLURE LTD,SC719748,Active,Private limited company,,13/01/2022,68100,Westburn House Mcnee Road Prestwick KA9 2PB
CITICORP DEVELOPMENTS LTD,13846097,Active,Private limited company,,13/01/2022,68209,Vistastar House 54-56 Uxbridge Road Hanwell London W7 3SU
BIRMINGHAM BANGLA MELA LTD,13845874,Active,Private limited by guarantee without share capital,,13/01/2022,96090,View Villa Community Centre Park Lane Aston Birmingham B6 5DE
F&P ESTATES LTD,13846797,Active,Private limited company,,13/01/2022,68100,Verto 120 Kings Road Flat 1601 Reading RG1 3FS
V&C EQUESTRIAN LTD,SC719715,Active,Private limited by guarantee without share capital,,13/01/2022,1430,V&C Equestrian Lymphoy Road Kirkgate Currie EH14 6AN
HELMED VENTURES LTD,13846611,Active,Private limited company,,13/01/2022,73110,Unit A1-A4 Brett Street  Business Park Brett Street Bridlington YO16 4LQ
SUFFOLK HOSPITALITY (HOLDINGS) LTD,13845958,Active,Private limited company,,13/01/2022,70100,Unit 9 Byford Court Crockatt Road Hadleigh Ipswich IP7 6RD
CHOICE ESTATE AGENCY LIMITED,13846678,Active,Private limited company,,13/01/2022,68310,Unit 5i-5j Nobel Road London N18 3BH
ABELONNE LIMITED,13846971,Active,Private limited company,,13/01/2022,68100 68209,Unit 4 Valley Park Watermills Road Newcastle ST5 6AT
MARKDEN HOMES CONSTRUCTION LIMITED,13846541,Active,Private limited company,,13/01/2022,41100,Unit 3 Birchwood One Business Park Dewhurst Road Birchwood Warrington WA3 7GB
ALL FOR TRADING LTD,13846799,Active,Private limited company,,13/01/2022,47990,Unit 26e Commerce House 52-54 Derby Street Manchester M8 8HF
CATHEDRAL BLINDS LINCOLN LIMITED,13847584,Active,Private limited company,,13/01/2022,46160,Unit 19 Stirlin Business Park 185 Sadler Road Lincoln LN6 3AF
TUFF FIT LTD,13846924,Active,Private limited company,,13/01/2022,32300,"Unit 13 Freeland Park, Wareham Road, Lytechett House Poole BH16 6FA"
INDUS PROCESS LTD,13845852,Active,Private limited company,,13/01/2022,47990,Unit 13 Freeland Park Wareham Road Lytchett Matravers Poole BH16 6FA
BECKS STORAGE LTD,13845725,Active,Private limited company,,13/01/2022,68209,"Unit 12b, Hall Farm Martham Road Rollesby Great Yarmouth NR29 5DR"
NE TOOL HIRE LTD,13846716,Active,Private limited company,,13/01/2022,77320,Unit 12 Quay Level St. Peters Wharf Newcastle Upon Tyne NE6 1TZ
JSB NORTHWEST LTD,13846317,Active,Private limited company,,13/01/2022,13921,Unit 11 Adhan Trading Estate Temple Drive Blackburn BB1 1NL
VIBRANT HEARING LTD,13846085,Active,Private limited company,,13/01/2022,86900,"Unit 10 Rake House Farm, Rake Lane North Shields Tyne And Wear NE29 8EQ"
THL WRAXALL LTD,13845699,Active,Private limited company,,13/01/2022,41100,"Unit 1, The Arcade 69 High Street Nailsea BS48 1AW"
ROBOT FLOOR SYSTEMS LTD,13846255,Active,Private limited company,,13/01/2022,43999,Unit 1 Stour Vale Road Stourbridge DY9 8PP
URBANITE (SHEFF) LIVING LIMITED,13847596,Active,Private limited company,,13/01/2022,68209,Unit 1 Park Court 42 Park Cross Street Leeds LS1 2QH
FARM SAFE CONSULTING LTD,13846041,Active,Private limited company,,13/01/2022,70229,"Tuckers Country Store, Commercial Road Crediton EX17 1ER"
TIPTOE PROJECTS LTD,13846694,Active,Private limited company,,13/01/2022,68100 68209 68320,"Tiptoe Farm, Vaggs Lane Hordle Lymington SO41 0FD"
GMPM INVESTMENTS LIMITED,13846058,Active,Private limited company,,13/01/2022,64999,Third Floor Two Colton Square Leicester LE1 1QH
HONEYBEE BIOTECHNOLOGIES LTD,13845854,Active,Private limited company,,13/01/2022,72110,Third Floor 104-108 Oxford Street London W1D 1LP
