company_name,company_number,company_status,company_type,dissolution_date,incorporation_date,nature_of_business,registered_office_address
VIRTUAL B STORE LTD,13839832,Active,Private limited company,,2022-01-11,85590,71-75 Shelton Street Covent Garden London WC2H 9JQ
FREQUENCY FABRICS LTD,13839848,Active,Private limited company,,2022-01-11,13990 14131 14132 14190,71-75 Shelton Street Covent Garden London WC2H 9JQ
GELOSE MARINE SERVICES LTD,13839856,Active,Private limited company,,2022-01-11,80100,71-75 Shelton Street Covent Garden London WC2H 9JQ
WHOLSALEKEYS LTD,13839950,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
BAHVEE LTD,13839972,Active,Private limited company,,2022-01-11,45111 45112 45190 62012,71-75 Shelton Street Covent Garden London WC2H 9JQ
ORCA TRADING LTD,13839991,Active,Private limited company,,2022-01-11,68201 70229 74901,71-75 Shelton Street Covent Garden London WC2H 9JQ
SHOPALOR LTD,13840241,Active,Private limited company,,2022-01-11,32990,71-75 Shelton Street Covent Garden London WC2H 9JQ
BELDI LTD,13840282,Active,Private limited company,,2022-01-11,46160,71-75 Shelton Street Covent Garden London WC2H 9JQ
EMP MAX ACADEMY LTD,13840363,Active,Private limited company,,2022-01-11,84120 85590,71-75 Shelton Street Covent Garden London WC2H 9JQ
YOKO SISTER LTD,13840482,Active,Private limited company,,2022-01-11,62090,71-75 Shelton Street Covent Garden London WC2H 9JQ
GPS LEAFLET DISTRIBUTION LTD,13840645,Active,Private limited company,,2022-01-11,73110,71-75 Shelton Street Covent Garden London WC2H 9JQ
BODY N SOUL SEAMOSS LTD,13840780,Active,Private limited company,,2022-01-11,10890 47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
ZAKIBOU GOS LTD,13836629,Active,Private limited company,,2022-01-10,45200,71-75 Shelton Street Covent Garden London WC2H 9JQ
ELITEGANCE LTD,13836621,Active,Private limited company,,2022-01-10,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
SL JEWELLERY LTD,13837320,Active,Private limited company,,2022-01-10,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
PREMIER FITNESS SHOP LTD,13837653,Active,Private limited company,,2022-01-10,94110,71-75 Shelton Street Covent Garden London WC2H 9JQ
GOULY TECH CONSULTING LIMITED,13836784,Active,Private limited company,,2022-01-10,71122 73120,71-75 Shelton Street Covent Garden London WC2H 9JQ
CRESSIER LTD,13836788,Active,Private limited company,,2022-01-10,68100 68209,71-75 Shelton Street Covent Garden London WC2H 9JQ
500 MOONS LIMITED,13836912,Active,Private limited company,,2022-01-10,62012 62020 62090,71-75 Shelton Street Covent Garden London WC2H 9JQ
JACK RYAN LOGISTICS LIMITED,13837667,Active,Private limited company,,2022-01-10,52290,71-75 Shelton Street Covent Garden London WC2H 9JQ
PET BEHAVIOUR CONSULTANCY AND THERAPY LTD,13837813,Active,Private limited company,,2022-01-10,85320 85422 85600,71-75 Shelton Street Covent Garden London WC2H 9JQ
